Ano;Mês;Distrito;Concelho;Freguesia;Tipo de Lâmpada;Luminárias;Lâmpadas por Luminária;Lâmpadas;Potência Instalada Total (W);CodDistrito;CodDistritoConcelho;coddistritoconcelhofreguesia
2026;5;Vila Real;Montalegre;Meixedo e Padornelos;Outros/Não definido;1.0;1.0;1.0;45.0;17;1706;170637
2026;5;Vila Real;Montalegre;Viade de Baixo e Fervidelas;LED;843.0;831.0;843.0;25164.200019836426;17;1706;170642
2026;5;Vila Real;Montalegre;Viade de Baixo e Fervidelas;Outros/Não definido;13.0;13.0;13.0;180.0;17;1706;170642
2026;5;Vila Real;Murça;Candedo;LED;703.0;703.0;703.0;21863.600009918213;17;1707;170701
2026;5;Vila Real;Murça;Fiolhoso;LED;434.0;434.0;440.0;13069.800003051758;17;1707;170703
2026;5;Vila Real;Murça;Fiolhoso;Sódio;9.0;9.0;9.0;810.0;17;1707;170703
2026;5;Vila Real;Murça;Valongo de Milhais;Outros/Não definido;2.0;2.0;2.0;45.0;17;1707;170708
2026;5;Vila Real;Murça;Noura e Palheiros;LED;638.0;635.0;638.0;26450.0;17;1707;170711
2026;5;Vila Real;Peso da Régua;Loureiro;LED;525.0;523.0;525.0;14280.0;17;1708;170805
2026;5;Vila Real;Peso da Régua;Sedielos;LED;673.0;673.0;673.0;20962.600006103516;17;1708;170809
2026;5;Vila Real;Peso da Régua;Sedielos;Outros/Não definido;13.0;13.0;13.0;90.0;17;1708;170809
2026;5;Vila Real;Peso da Régua;Vilarinho dos Freires;LED;528.0;528.0;528.0;20557.40000152588;17;1708;170810
2026;5;Vila Real;Peso da Régua;Moura Morta e Vinhós;Sódio;19.0;19.0;19.0;1810.0;17;1708;170814
2026;5;Vila Real;Peso da Régua;Peso da Régua e Godim;LED;1801.0;1757.0;1807.0;82902.50020980835;17;1708;170815
2026;5;Vila Real;Sabrosa;Gouvinhas;LED;194.0;194.0;194.0;5592.0;17;1710;171004
2026;5;Vila Real;Sabrosa;Paços;Sódio;32.0;32.0;32.0;2480.0;17;1710;171007
2026;5;Vila Real;Sabrosa;Sabrosa;Outros/Não definido;54.0;54.0;54.0;;17;1710;171009
2026;5;Vila Real;Sabrosa;São Lourenço de Ribapinhão;Mercúrio;1.0;1.0;1.0;80.0;17;1710;171011
2026;5;Vila Real;Sabrosa;São Lourenço de Ribapinhão;Outros/Não definido;25.0;25.0;25.0;600.0;17;1710;171011
2026;5;Vila Real;Sabrosa;São Lourenço de Ribapinhão;Sódio;64.0;64.0;64.0;4630.0;17;1710;171011
2026;5;Vila Real;Sabrosa;Souto Maior;Sódio;7.0;7.0;7.0;490.0;17;1710;171013
2026;5;Vila Real;Sabrosa;Torre do Pinhão;Outros/Não definido;12.0;12.0;12.0;45.0;17;1710;171014
2026;5;Vila Real;Sabrosa;Torre do Pinhão;Sódio;20.0;20.0;20.0;1490.0;17;1710;171014
2026;5;Vila Real;Sabrosa;Vilarinho de São Romão;LED;220.0;220.0;220.0;8917.0;17;1710;171015
2026;5;Vila Real;Sabrosa;Provesende, Gouvães Douro, S. Cristóvão Douro;Outros/Não definido;18.0;18.0;18.0;180.0;17;1710;171016
2026;5;Vila Real;Sabrosa;São Martinho de Antas e Paradela de Guiães;Sódio;230.0;230.0;230.0;20020.0;17;1710;171017
2026;5;Vila Real;Santa Marta de Penaguião;Fontes;LED;462.0;460.0;462.0;16236.200088500977;17;1711;171103
